model,task,category,score,passed,wall_s,tok_s,tokens,prompt_tokens,ok,tier,timestamp
gemma4:e4b,multi_build_scooter,multi_step,1.0,True,17.15,72.05,1200,100,True,,2026-07-27T15:56:27
gemma4:e4b,code_battery_monitor,create,1.0,True,11.53,72.37,800,125,True,,2026-07-27T15:56:44
gemma4:e4b,search_tools,search,0.25,False,8.71,72.51,600,73,True,,2026-07-27T15:56:56
gemma4:e4b,diag_comm_error,diagnose,1.0,True,8.76,72.25,600,85,True,,2026-07-27T15:57:04
dolphin-llama3:8b,inv_find_bug,investigate,0.75,True,18.0,66.97,416,145,True,,2026-07-27T15:57:13
dolphin-llama3:8b,diag_ev_system,diagnose,1.0,True,6.25,67.01,401,103,True,,2026-07-27T15:57:31
dolphin-llama3:8b,create_dispensa,create,1.0,True,7.39,66.91,477,103,True,,2026-07-27T15:57:37
dolphin-llama3:8b,search_mosfet,search,0.5,True,9.25,66.78,600,103,True,,2026-07-27T15:57:45
dolphin-llama3:8b,fix_injection,fix,0.67,True,4.31,67.08,270,128,True,,2026-07-27T15:57:54
dolphin-llama3:8b,predict_batt_degrad,predict,0.67,False,8.7,66.75,564,102,True,,2026-07-27T15:57:58
dolphin-llama3:8b,multi_build_scooter,multi_step,1.0,True,10.98,66.22,709,108,True,,2026-07-27T15:58:07
dolphin-llama3:8b,code_battery_monitor,create,1.0,True,9.24,66.29,592,129,True,,2026-07-27T15:58:18
dolphin-llama3:8b,search_tools,search,0.25,False,8.27,66.73,534,81,True,,2026-07-27T15:58:27
dolphin-llama3:8b,diag_comm_error,diagnose,1.0,True,8.18,66.31,525,91,True,,2026-07-27T15:58:36
dolphin3:8b,inv_find_bug,investigate,0.75,False,18.81,61.85,600,145,True,,2026-07-27T15:58:44
dolphin3:8b,diag_ev_system,diagnose,0.75,False,9.99,61.82,600,103,True,,2026-07-27T15:59:03
dolphin3:8b,create_dispensa,create,1.0,True,10.46,61.79,629,103,True,,2026-07-27T15:59:12
dolphin3:8b,search_mosfet,search,0.5,True,9.99,61.75,600,103,True,,2026-07-27T15:59:23
dolphin3:8b,fix_injection,fix,1.0,True,10.02,61.73,600,128,True,,2026-07-27T15:59:33
dolphin3:8b,predict_batt_degrad,predict,0.33,False,9.99,61.7,600,102,True,,2026-07-27T15:59:43
dolphin3:8b,multi_build_scooter,multi_step,1.0,True,17.17,61.24,1034,108,True,,2026-07-27T15:59:53
dolphin3:8b,code_battery_monitor,create,1.0,True,13.32,61.52,800,129,True,,2026-07-27T16:00:10
dolphin3:8b,search_tools,search,0.25,False,9.99,61.79,600,81,True,,2026-07-27T16:00:23
dolphin3:8b,diag_comm_error,diagnose,1.0,True,8.52,61.67,508,91,True,,2026-07-27T16:00:33
serena-v6:latest,inv_find_bug,investigate,0.5,True,20.67,87.62,600,145,True,,2026-07-27T16:00:42
serena-v6:latest,diag_ev_system,diagnose,0.75,False,7.37,87.93,600,97,True,,2026-07-27T16:01:03
serena-v6:latest,create_dispensa,create,1.0,True,11.79,87.01,986,90,True,,2026-07-27T16:01:10
serena-v6:latest,search_mosfet,search,0.75,True,7.41,86.77,600,100,True,,2026-07-27T16:01:22
serena-v6:latest,fix_injection,fix,0.67,True,7.44,86.18,600,130,True,,2026-07-27T16:01:29
serena-v6:latest,predict_batt_degrad,predict,1.0,True,7.38,86.78,600,94,True,,2026-07-27T16:01:37
serena-v6:latest,multi_build_scooter,multi_step,1.0,True,14.34,86.53,1200,102,True,,2026-07-27T16:01:44
serena-v6:latest,code_battery_monitor,create,1.0,True,9.77,86.17,800,127,True,,2026-07-27T16:01:58
serena-v6:latest,search_tools,search,0.5,True,7.32,87.68,600,75,True,,2026-07-27T16:02:08
serena-v6:latest,diag_comm_error,diagnose,0.75,True,7.33,87.35,600,87,True,,2026-07-27T16:02:15
gemma3:4b,inv_find_bug,investigate,0.5,True,7.35,87.46,600,145,True,,2026-07-27T16:02:23
gemma3:4b,diag_ev_system,diagnose,0.75,False,7.31,87.72,600,97,True,,2026-07-27T16:02:30
gemma3:4b,create_dispensa,create,1.0,True,11.98,87.05,1003,90,True,,2026-07-27T16:02:37
gemma3:4b,search_mosfet,search,0.5,True,7.43,86.47,600,100,True,,2026-07-27T16:02:49
gemma3:4b,fix_injection,fix,1.0,True,7.33,87.57,600,130,True,,2026-07-27T16:02:57
gemma3:4b,predict_batt_degrad,predict,0.67,False,7.35,87.22,600,94,True,,2026-07-27T16:03:04
gemma3:4b,multi_build_scooter,multi_step,1.0,True,14.58,85.27,1200,102,True,,2026-07-27T16:03:12
gemma3:4b,code_battery_monitor,create,0.67,False,9.76,86.35,800,127,True,,2026-07-27T16:03:26
gemma3:4b,search_tools,search,0.75,True,7.31,87.85,600,75,True,,2026-07-27T16:03:36
gemma3:4b,diag_comm_error,diagnose,0.75,True,7.3,87.56,600,87,True,,2026-07-27T16:03:43
gemma:7b,inv_find_bug,investigate,0.75,False,16.19,58.89,262,147,True,,2026-07-27T16:03:51
gemma:7b,diag_ev_system,diagnose,1.0,True,5.18,59.47,287,97,True,,2026-07-27T16:04:07
gemma:7b,create_dispensa,create,1.0,True,5.67,59.39,318,95,True,,2026-07-27T16:04:12
gemma:7b,search_mosfet,search,1.0,True,9.48,58.6,537,104,True,,2026-07-27T16:04:18
gemma:7b,fix_injection,fix,0.67,True,5.54,59.14,305,137,True,,2026-07-27T16:04:27
gemma:7b,predict_batt_degrad,predict,1.0,True,7.34,59.06,414,97,True,,2026-07-27T16:04:33
gemma:7b,multi_build_scooter,multi_step,1.0,True,7.58,58.93,427,104,True,,2026-07-27T16:04:40
gemma:7b,code_battery_monitor,create,0.67,False,7.76,58.75,435,130,True,,2026-07-27T16:04:47
gemma:7b,search_tools,search,0.5,True,7.25,59.09,408,78,True,,2026-07-27T16:04:55
gemma:7b,diag_comm_error,diagnose,1.0,True,4.37,59.56,240,91,True,,2026-07-27T16:05:03
gemma:2b,inv_find_bug,investigate,0.5,False,9.18,60.44,288,147,True,,2026-07-27T16:05:07
gemma:2b,diag_ev_system,diagnose,0.75,False,5.52,60.84,320,97,True,,2026-07-27T16:05:16
gemma:2b,create_dispensa,create,1.0,True,4.89,61.63,285,95,True,,2026-07-27T16:05:22
gemma:2b,search_mosfet,search,0.25,False,7.46,60.48,435,104,True,,2026-07-27T16:05:26
gemma:2b,fix_injection,fix,0.67,True,6.44,60.48,373,137,True,,2026-07-27T16:05:34
gemma:2b,predict_batt_degrad,predict,1.0,True,6.06,61.04,353,97,True,,2026-07-27T16:05:40
gemma:2b,multi_build_scooter,multi_step,1.0,True,6.54,60.63,380,104,True,,2026-07-27T16:05:46
gemma:2b,code_battery_monitor,create,0.33,False,9.51,59.95,553,130,True,,2026-07-27T16:05:53
gemma:2b,search_tools,search,0.25,False,5.9,61.4,345,78,True,,2026-07-27T16:06:02
gemma:2b,diag_comm_error,diagnose,0.5,False,5.81,59.52,329,91,True,,2026-07-27T16:06:08
phi4-mini:latest,inv_find_bug,investigate,0.75,True,16.53,99.99,600,124,True,,2026-07-27T16:06:14
phi4-mini:latest,diag_ev_system,diagnose,0.75,False,6.28,99.87,600,85,True,,2026-07-27T16:06:31
phi4-mini:latest,create_dispensa,create,1.0,True,6.07,99.96,578,85,True,,2026-07-27T16:06:37
phi4-mini:latest,search_mosfet,search,0.75,True,6.3,99.67,600,87,True,,2026-07-27T16:06:43
phi4-mini:latest,fix_injection,fix,1.0,True,6.27,99.61,597,112,True,,2026-07-27T16:06:49
phi4-mini:latest,predict_batt_degrad,predict,0.67,False,6.29,99.57,600,80,True,,2026-07-27T16:06:56
phi4-mini:latest,multi_build_scooter,multi_step,1.0,True,8.1,99.1,776,87,True,,2026-07-27T16:07:02
phi4-mini:latest,code_battery_monitor,create,1.0,True,8.38,98.9,800,114,True,,2026-07-27T16:07:10
phi4-mini:latest,search_tools,search,0.25,False,5.68,99.63,538,64,True,,2026-07-27T16:07:18
phi4-mini:latest,diag_comm_error,diagnose,0.75,False,3.03,100.39,277,76,True,,2026-07-27T16:07:24
qwen2.5:7b,inv_find_bug,investigate,0.5,False,16.1,64.28,600,144,True,,2026-07-27T16:07:27
qwen2.5:7b,diag_ev_system,diagnose,1.0,True,9.53,64.52,600,105,True,,2026-07-27T16:07:43
qwen2.5:7b,create_dispensa,create,1.0,True,12.72,64.31,804,102,True,,2026-07-27T16:07:53
qwen2.5:7b,search_mosfet,search,0.5,True,9.55,64.33,600,110,True,,2026-07-27T16:08:05
qwen2.5:7b,fix_injection,fix,1.0,True,9.57,64.24,600,127,True,,2026-07-27T16:08:15
qwen2.5:7b,predict_batt_degrad,predict,0.67,False,9.55,64.35,600,105,True,,2026-07-27T16:08:25
qwen2.5:7b,multi_build_scooter,multi_step,1.0,True,19.06,63.71,1200,112,True,,2026-07-27T16:08:34
qwen2.5:7b,code_battery_monitor,create,1.0,True,12.7,64.35,800,134,True,,2026-07-27T16:08:53
qwen2.5:7b,search_tools,search,0.5,True,9.53,64.41,600,80,True,,2026-07-27T16:09:06
qwen2.5:7b,diag_comm_error,diagnose,1.0,True,9.54,64.37,600,93,True,,2026-07-27T16:09:15
qwen2.5:3b,inv_find_bug,investigate,0.75,True,30.84,22.62,600,144,True,,2026-07-27T16:09:25
qwen2.5:3b,diag_ev_system,diagnose,0.75,True,26.19,22.58,581,105,True,,2026-07-27T16:09:56
qwen2.5:3b,create_dispensa,create,1.0,True,20.06,23.03,451,102,True,,2026-07-27T16:10:22
qwen2.5:3b,search_mosfet,search,0.5,True,27.75,22.0,600,110,True,,2026-07-27T16:10:42
qwen2.5:3b,fix_injection,fix,1.0,True,29.88,20.41,600,127,True,,2026-07-27T16:11:10
qwen2.5:3b,predict_batt_degrad,predict,1.0,True,31.72,19.5,600,105,True,,2026-07-27T16:11:40
qwen2.5:3b,multi_build_scooter,multi_step,1.0,True,48.36,21.01,1006,112,True,,2026-07-27T16:12:11
qwen2.5:3b,code_battery_monitor,create,1.0,True,37.95,21.37,800,134,True,,2026-07-27T16:13:00
qwen2.5:3b,search_tools,search,0.25,False,28.04,21.77,600,80,True,,2026-07-27T16:13:38
qwen2.5:3b,diag_comm_error,diagnose,0.75,False,28.06,21.76,600,93,True,,2026-07-27T16:14:06
qwen3:4b,inv_find_bug,investigate,0.0,False,12.15,97.17,600,146,True,,2026-07-27T16:14:34
qwen3:4b,diag_ev_system,diagnose,0.0,False,6.44,97.14,600,107,True,,2026-07-27T16:14:46
qwen3:4b,create_dispensa,create,1.0,True,12.82,95.45,1200,104,True,,2026-07-27T16:14:52
qwen3:4b,search_mosfet,search,0.5,True,6.49,96.7,600,112,True,,2026-07-27T16:15:05
qwen3:4b,fix_injection,fix,1.0,True,6.46,96.47,600,129,True,,2026-07-27T16:15:12
qwen3:4b,predict_batt_degrad,predict,0.33,False,6.46,96.58,600,107,True,,2026-07-27T16:15:18
qwen3:4b,multi_build_scooter,multi_step,0.25,False,12.9,94.84,1200,114,True,,2026-07-27T16:15:25
qwen3:4b,code_battery_monitor,create,0.33,False,8.66,95.66,800,136,True,,2026-07-27T16:15:38
qwen3:4b,search_tools,search,0.5,True,6.46,96.59,600,82,True,,2026-07-27T16:15:46
qwen3:4b,diag_comm_error,diagnose,0.25,False,6.45,96.53,600,95,True,,2026-07-27T16:15:53
qwen2.5:14b,inv_find_bug,investigate,0.5,False,56.98,21.14,600,144,True,,2026-07-27T16:15:59
qwen2.5:14b,diag_ev_system,diagnose,0.75,False,28.84,21.17,600,105,True,,2026-07-27T16:16:56
qwen2.5:14b,create_dispensa,create,1.0,True,17.17,21.41,358,102,True,,2026-07-27T16:17:25
qwen2.5:14b,search_mosfet,search,0.5,True,28.77,21.18,600,110,True,,2026-07-27T16:17:42
qwen2.5:14b,fix_injection,fix,1.0,True,28.51,21.11,592,127,True,,2026-07-27T16:18:11
qwen2.5:14b,predict_batt_degrad,predict,1.0,True,28.78,21.18,600,105,True,,2026-07-27T16:18:39
qwen2.5:14b,multi_build_scooter,multi_step,1.0,True,58.18,20.79,1200,112,True,,2026-07-27T16:19:08
qwen2.5:14b,code_battery_monitor,create,1.0,True,38.72,20.97,800,134,True,,2026-07-27T16:20:06
qwen2.5:14b,search_tools,search,0.25,False,28.73,21.22,600,80,True,,2026-07-27T16:20:45
qwen2.5:14b,diag_comm_error,diagnose,1.0,True,28.78,21.17,600,93,True,,2026-07-27T16:21:14
qwen2.5:14b-instruct-q4_K_M,inv_find_bug,investigate,1.0,True,28.95,21.09,600,144,True,,2026-07-27T16:21:43
qwen2.5:14b-instruct-q4_K_M,diag_ev_system,diagnose,1.0,True,28.82,21.16,600,105,True,,2026-07-27T16:22:12
qwen2.5:14b-instruct-q4_K_M,create_dispensa,create,1.0,True,33.42,21.07,695,102,True,,2026-07-27T16:22:40
qwen2.5:14b-instruct-q4_K_M,search_mosfet,search,0.5,True,28.9,21.1,600,110,True,,2026-07-27T16:23:14
qwen2.5:14b-instruct-q4_K_M,fix_injection,fix,0.67,True,28.87,21.12,600,127,True,,2026-07-27T16:23:43
qwen2.5:14b-instruct-q4_K_M,predict_batt_degrad,predict,0.67,False,28.87,21.12,600,105,True,,2026-07-27T16:24:12
qwen2.5:14b-instruct-q4_K_M,multi_build_scooter,multi_step,1.0,True,55.34,20.79,1141,112,True,,2026-07-27T16:24:40
qwen2.5:14b-instruct-q4_K_M,code_battery_monitor,create,1.0,True,38.71,20.97,800,134,True,,2026-07-27T16:25:36
qwen2.5:14b-instruct-q4_K_M,search_tools,search,0.25,False,28.79,21.17,600,80,True,,2026-07-27T16:26:15
qwen2.5:14b-instruct-q4_K_M,diag_comm_error,diagnose,0.75,True,28.82,21.15,600,93,True,,2026-07-27T16:26:43
mistral-nemo:latest,inv_find_bug,investigate,1.0,True,30.61,45.12,435,127,True,,2026-07-27T16:27:12
mistral-nemo:latest,diag_ev_system,diagnose,1.0,True,13.66,45.11,600,87,True,,2026-07-27T16:27:43
mistral-nemo:latest,create_dispensa,create,1.0,True,15.81,45.0,697,89,True,,2026-07-27T16:27:56
mistral-nemo:latest,search_mosfet,search,0.5,True,13.64,45.06,600,95,True,,2026-07-27T16:28:12
mistral-nemo:latest,fix_injection,fix,1.0,True,13.65,45.05,600,114,True,,2026-07-27T16:28:26
mistral-nemo:latest,predict_batt_degrad,predict,0.67,False,13.03,45.08,573,85,True,,2026-07-27T16:28:40
mistral-nemo:latest,multi_build_scooter,multi_step,1.0,True,20.2,44.68,889,94,True,,2026-07-27T16:28:53
mistral-nemo:latest,code_battery_monitor,create,0.33,False,18.24,44.72,800,119,True,,2026-07-27T16:29:13
mistral-nemo:latest,search_tools,search,0.25,False,11.65,45.09,511,66,True,,2026-07-27T16:29:31
mistral-nemo:latest,diag_comm_error,diagnose,1.0,True,9.42,45.05,411,74,True,,2026-07-27T16:29:43
deepseek-r1:14b,inv_find_bug,investigate,0.5,False,47.23,21.06,600,138,True,,2026-07-27T16:29:52
deepseek-r1:14b,diag_ev_system,diagnose,0.75,False,28.91,21.12,600,99,True,,2026-07-27T16:30:39
deepseek-r1:14b,create_dispensa,create,1.0,True,30.03,21.17,626,96,True,,2026-07-27T16:31:08
deepseek-r1:14b,search_mosfet,search,0.75,True,28.97,21.06,600,104,True,,2026-07-27T16:31:38
deepseek-r1:14b,fix_injection,fix,0.67,True,16.55,21.28,342,121,True,,2026-07-27T16:32:07
deepseek-r1:14b,predict_batt_degrad,predict,1.0,True,28.82,21.14,600,99,True,,2026-07-27T16:32:24
deepseek-r1:14b,multi_build_scooter,multi_step,1.0,True,58.64,20.62,1200,106,True,,2026-07-27T16:32:53
deepseek-r1:14b,code_battery_monitor,create,1.0,True,38.82,20.9,800,128,True,,2026-07-27T16:33:51
deepseek-r1:14b,search_tools,search,0.25,False,28.85,21.13,600,74,True,,2026-07-27T16:34:30
deepseek-r1:14b,diag_comm_error,diagnose,1.0,True,28.85,21.12,600,87,True,,2026-07-27T16:34:59
deepseek-r1:8b,inv_find_bug,investigate,0.5,False,24.29,57.39,600,137,True,,2026-07-27T16:35:28
deepseek-r1:8b,diag_ev_system,diagnose,0.75,False,10.7,57.84,600,98,True,,2026-07-27T16:35:52
deepseek-r1:8b,create_dispensa,create,1.0,True,14.09,57.69,798,95,True,,2026-07-27T16:36:03
deepseek-r1:8b,search_mosfet,search,0.5,True,10.69,57.65,600,103,True,,2026-07-27T16:36:17
deepseek-r1:8b,fix_injection,fix,0.67,True,10.65,57.81,600,120,True,,2026-07-27T16:36:28
deepseek-r1:8b,predict_batt_degrad,predict,1.0,True,10.64,57.79,600,98,True,,2026-07-27T16:36:38
deepseek-r1:8b,multi_build_scooter,multi_step,1.0,True,21.23,57.24,1200,105,True,,2026-07-27T16:36:49
deepseek-r1:8b,code_battery_monitor,create,1.0,True,14.2,57.59,800,127,True,,2026-07-27T16:37:10
deepseek-r1:8b,search_tools,search,0.75,True,10.73,57.4,600,73,True,,2026-07-27T16:37:24
deepseek-r1:8b,diag_comm_error,diagnose,1.0,True,10.75,57.16,600,86,True,,2026-07-27T16:37:35
